BO Iteration,Selected SMILES,f1,f2,R2 Indicator
47,CCN(CC)S(=O)(=O)c1ccc(N2CCOCC2)c(NC(=O)c2ccc(O)nc2)c1,0.13138686131386862,1.0,0.2396
48,CCC(N=C(O)c1cc(C(=O)NCC2CC2)n2c1COCC2)c1ccccc1Cl,0.1590909090909091,1.0,0.2396
49,CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc(Cl)c2)C1,0.11940298507462686,1.0,0.2396
50,CCc1cc(C(=O)NC(Cc2cccc(Cl)c2)C(=O)NCC#N)n(C)n1,0.12598425196850394,1.0,0.2396
51,CCOC(=O)NC1CCc2ccc(OCCNS(=O)(=O)CC3CC3)cc2C1Cc1cccc(Cl)c1,0.1643835616438356,1.0,0.2396
52,CC(C(=O)NCCN)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,0.11851851851851852,1.0,0.2396
53,COC(=O)c1c(NC(=O)CCCOc2ccccc2)sc2c1CCC(C)C2,0.13846153846153847,1.0,0.2396
54,CC(C)(C)C1CCc2c(sc(NC(=O)c3cccc(Cl)c3)c2C(=O)NCc2ccco2)C1,0.1103448275862069,0.1353352832366127,0.2396
55,CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2,0.1223021582733813,1.0,0.2396
56,CCOC(=O)c1c(OC2CCCCC2C)cc(CCc2ccccc2)[nH]c1=O,0.208,1.0,0.2354
57,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2=NNc1ccccc1,0.14516129032258066,1.0,0.2354
58,CCOC(=O)NCCNC(=O)c1cc2ccccc2nc1N1CCCC1,0.18699186991869918,1.0,0.2354
59,CCOC(=O)C=CC(=O)Nc1ccccc1CCCN1CCC23CCCCC2C1Cc1ccc(O)cc13,0.20270270270270271,1.0,0.2354
60,CCOC(=O)C1CCC(=O)N1CC(=O)NCCN1CCN(c2ccccc2OC(C)C)CC1,0.22388059701492538,0.1353352832366127,0.2354
61,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc2ccc(O)cc2oc1=O,0.12056737588652482,0.1353352832366127,0.2354
62,CCOC(=O)c1cc2c(nc1N=C(S)Nc1ccccc1)CC(C)(CC)OC2,0.13636363636363635,1.0,0.2354
63,CCc1cc2cc(C(=O)C3CCC(OC)CC3)ccc2nc1Cl,0.13333333333333333,1.0,0.2354
64,CCNC(=O)C1(C)CCCN(Cc2cccc3c(OC)cc(C(=O)OCC)cc23)C1,0.19230769230769232,1.0,0.2354
65,CCc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCN(C)OC1N2C,0.10294117647058823,1.0,0.2354
66,CCOc1cc(NC(=O)N2CCC(O)(CC(CC)CC)CC2)cc(Oc2ccc(F)cc2)c1,0.14685314685314685,1.0,0.2354
67,CCOC(=O)C1(Cc2cccc(OC)c2)CCN(Cc2cnc(SC)nc2)CC1,0.14074074074074075,1.0,0.2354
68,CCCOc1nccc(N2CCC(Oc3ccc(C(C)NC(C)=O)cc3)C2)c1F,0.15037593984962405,1.0,0.2354
69,CCC1CN2CCC1CC2C(O)c1cc(N2CCCC(C(=O)N(CC)CC)C2)nc2ccc(OC)cc12,0.1891891891891892,1.0,0.2354
70,CCN1CCC(N(Cc2cccc(OC)c2)C(=O)Nc2ccc(C)cc2Cl)CC1,0.1417910447761194,1.0,0.2354
71,CCC(Cc1cc(CNC(=O)c2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c(OC)cc1F)C(=O)O,0.17687074829931973,1.0,0.2354
72,CCCCOc1cc(NC(=O)NC2CCc3ccccc32)ccc1OC,0.12307692307692308,1.0,0.2354
73,CCOC(=O)c1cnc2ccc(OC)cc2c1NCCc1ccccc1,0.10606060606060606,0.1353352832366127,0.2354
74,CCNC(=O)C1CC(n2cnc3c(NC(CC)Cc4sccc4Cl)ccnc32)C(O)C1O,0.14184397163120568,0.1353352832366127,0.2354
75,CCN(Cc1cc(C(F)(F)F)ccc1-n1cc(CC(=O)O)c2ccc(C3CC3)nc21)C(=O)C1CC1,0.15172413793103448,0.1353352832366127,0.2354
76,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(Cc1ccc(F)cc1)OC(=O)C(NC(=O)c1cc(C)on1)C(C)C,0.18012422360248448,1.0,0.2354
77,Cc1ccc(F)cc1C(=O)N1CCCCC1c1cc(C(=O)NC(C)C)no1,0.1774193548387097,1.0,0.2354
78,COc1ccc(F)cc1C(=O)C1CCCN(Cc2ccc(C)s2)C1,0.12096774193548387,1.0,0.2354
79,CCOc1cc(C(=O)OCC(=O)Nc2cc(C)on2)ccc1OCC(C)C,0.14960629921259844,1.0,0.2354
80,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OCC1CCC1,0.152,1.0,0.2354
81,CCc1cnc(CNc2ccc(C(=O)N3CCCC(C)C3)cc2C)o1,0.14516129032258066,1.0,0.2354
82,Cc1cc(C)c(S(=O)(=O)N2CCCOC2CNC(=O)C(=O)NCc2cccs2)c(C)c1,0.13768115942028986,1.0,0.2354
83,CCC1OCC(=O)C1NC(=O)C(CC1(C)CCCC1)NC(=O)c1cccc(S(=O)(=O)NC)c1,0.18248175182481752,0.1353352832366127,0.2354
84,CC(Oc1ccc(Cl)cc1CN1CCN(C(=O)Cc2ccc(Cl)cc2)C(C)C1)C(=O)O,0.145985401459854,1.0,0.2354
85,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)C(C)C)ccc3n2C)CC1,0.192,1.0,0.2354
86,CCCN1CCN(CC2=C(C(=O)OCC)C(c3ccc(OC(C)C)cc3)NC(=O)N2)CC1,0.18382352941176472,0.1353352832366127,0.2354
87,CC1CCC(C2=CCC(N(CCN3CCCC3)C(=O)Nc3ccc(F)c(Cl)c3)CC2)S1,0.14285714285714285,0.1353352832366127,0.2354
88,CCCNC(=O)N1CCc2cc(OC)c(OC)cc2C1c1ccccc1,0.12403100775193798,1.0,0.2354
89,CCOc1cc(C(=O)Nc2cc(OC)cc(OC)c2)ccc1OCC(=O)N1CCOCC1,0.14084507042253522,1.0,0.2354
90,Cc1occc1C(=O)NCC(=O)NCCOc1ccc2c(c1)CCC2,0.12598425196850394,1.0,0.2354
91,CCOc1ncccc1C(=O)OCC(=O)c1ccc(C)c(C)c1,0.125,1.0,0.2354
92,CC(C)CC(CO)NC(=O)c1ccc(NC(=O)N2Cc3ccc(F)cc3C2)cc1,0.13432835820895522,1.0,0.2354
93,C=CCOC(=O)N1CCN(C(=O)C(CCC(=O)O)NC(=O)c2cc(OCCO)cc(-c3ccccc3)n2)CC1,0.16774193548387098,1.0,0.2354
94,CC(=O)N1CCCc2cc(-c3cncc(C(C)N=C(C)O)c3)cnc21,0.128,1.0,0.2354
95,COc1ccccc1C(=O)Nc1cc2c(cc1C(C)C)CCC1C(C)(C(=O)O)CCCC21C,0.16546762589928057,1.0,0.2354
96,CC12CCC3c4ccc(C(=O)NCC5(C(=O)O)CCOCC5)cc4CCC3C1CC=C2c1cncc(F)c1,0.1320754716981132,1.0,0.2354
97,CCC(NC(=O)N1CC(=O)NCC(Cc2cc(Cl)ccc2OC)C1=O)c1cncc(C(=O)O)c1,0.14583333333333334,1.0,0.2354
98,NCc1ccc(Cl)cc1CN=C(O)C1CCCN1C(=O)C1(O)CCc2cccnc21,0.13043478260869565,1.0,0.2354
99,CCC(=O)N1CCOc2c(cc(-c3cccc(Cl)c3)cc2OC)C1,0.09448818897637795,1.0,0.2354
100,CC(C)C(O)C(=O)N1CC(OCCCc2ccccc2)CC1C(=O)NC(CC(F)F)C(=O)NCCc1c(F)cc(C(=O)O)cc1F,0.17964071856287425,1.0,0.2354
