BO Iteration,Selected SMILES by EI,f1,f2,R2 Indicator
46,Cc1cccc(C(=O)NCCC(=O)N2CCc3ccccc3C2)c1,0.19672131147540983,1.0,0.2303
47,O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,0.13709677419354838,1.0,0.2303
48,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccccc2N(C)C)C1,0.17692307692307693,1.0,0.2303
49,O=c1ccc(-c2ccccc2)nn1CCC(=S)N1CCCC1,0.13709677419354838,1.0,0.2303
50,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc3nc[nH]c3c2)C1,0.15555555555555556,0.1353352832366127,0.2303
51,O=C(O)CCN1CCc2ccccc2C1c1ccncc1,0.1794871794871795,1.0,0.2303
52,CN(CC=Cc1ccccc1)Cc1cccc2c1CCC2,0.13934426229508196,1.0,0.2303
53,O=C(COC(=O)c1ccc(Br)o1)NC1CCCc2ccccc21,0.23275862068965517,1.0,0.1937
54,O=C(OCC1CCCCO1)c1cccc(-c2ccccc2)c1,0.17355371900826447,1.0,0.1937
55,c1coc(CN2CCC3(CCCc4ccccc43)CC2)c1,0.1111111111111111,0.1353352832366127,0.1937
56,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCCCCO2,0.136,1.0,0.1937
57,O=C(O)C1CCCN(CCOCCN2c3ccccc3Sc3ccccc32)C1,0.1865671641791045,0.1353352832366127,0.1937
58,O=C(CN1CCCCC1c1cccnc1)c1ccccc1,0.13934426229508196,1.0,0.1937
59,Cc1ccc(C(=O)NCC(=O)OC(C)C(=O)NC2CCCc3ccccc32)cc1,0.21374045801526717,1.0,0.1937
60,Cc1cccc(C(=O)C2CCCc3cccnc32)c1,0.15789473684210525,1.0,0.1937
61,O=C(CS(=O)(=O)c1ncccc1Cl)NC1CCCc2ccccc21,0.2184873949579832,1.0,0.1937
62,CSc1ncccc1C(=O)OCC(=O)c1ccccc1,0.21818181818181817,0.1353352832366127,0.1937
63,O=C(CNC(=O)c1ccc(N2CCCCC2)cc1)NC1CCCc2ccccc21,0.17391304347826086,0.1353352832366127,0.1937
64,O=C(NCC1C(c2ccccc2)C(CO)N1Cc1ccccn1)C1CCC1,0.13970588235294118,0.1353352832366127,0.1937
65,CCN(c1ccccc1)S(=O)(=O)c1ccc(C(=O)N2CCCC(C(F)(F)F)C2)cc1,0.1510791366906475,1.0,0.1937
66,Cc1ccc(NC(=O)CCCOc2ccccc2)cc1S(=O)(=O)N1CCOCC1,0.18518518518518517,1.0,0.1937
67,CCOc1ccccc1NC(=O)C1CCCCN1S(=O)(=O)c1ccccc1,0.17557251908396945,1.0,0.1937
68,Cc1ccc(C2(O)CCN(C(=O)c3cccc(S(C)(=O)=O)c3)CC2)nc1,0.13740458015267176,1.0,0.1937
69,CN(C)S(=O)(=O)N1CCCC(c2cccc(Cc3ccccc3F)n2)C1,0.15384615384615385,1.0,0.1937
70,N=C(N)N1CCCC(CNC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C1,0.16417910447761194,1.0,0.1937
71,COC(=O)c1ccccc1S(=O)(=O)N1CCC2(C=Cc3ccccc32)CC1,0.18461538461538463,0.1353352832366127,0.1937
72,O=C(NC1CCCC1)c1ccc(COc2ccccc2Br)o1,0.175,1.0,0.1937
73,O=C(CN(Cc1cccs1)C(=O)CNS(=O)(=O)c1ccccc1)NC1CCCC1,0.15942028985507245,1.0,0.1937
74,O=C(O)c1ccc(NC2CCCCC2)c(NCc2ccccc2)c1,0.1484375,1.0,0.1937
75,Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2N2CCCC2)cc1,0.17054263565891473,1.0,0.1937
76,CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc(Cl)c2)C1,0.19083969465648856,1.0,0.1937
77,Cc1cccc(NS(=O)(=O)c2cccc(C(=O)N3CC(C)OC(C)C3)c2)c1,0.16030534351145037,1.0,0.1937
78,Cc1ccccc1CCN1CCCC(CN(C)C(=O)C(=O)c2ccco2)C1,0.203125,1.0,0.1937
79,Cc1ccccc1COc1ccc2c(c1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.2,0.1353352832366127,0.1937
80,CN(C)S(=O)(=O)N1CCC(c2ccc(CN(CC(F)(F)F)S(=O)(=O)Cc3ccccc3)c(F)c2)CC1,0.1437908496732026,1.0,0.1937
