BO Iteration,Selected SMILES,f1,f2,R2 Indicator
59,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1ccc(F)cc1,0.11290322580645161,1.0,0.1851
60,COc1cccc(NC(=O)C(=O)NCCc2ccc(F)cc2)c1,0.088,1.0,0.1851
61,NC(=O)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,0.10204081632653061,1.0,0.1851
62,O=C(CNc1ccc(C(F)(F)F)cc1)Nc1cccc(S(=O)(=O)N2CCCC2)c1,0.10144927536231885,1.0,0.1851
63,CCOc1cc(NC(=O)N2CCC(O)(CC(CC)CC)CC2)cc(Oc2ccc(F)cc2)c1,0.14685314685314685,1.0,0.1851
64,O=C(CN(c1cccc([N+](=O)[O-])c1)S(=O)(=O)c1ccccc1)N1CCCCC1,0.10294117647058823,1.0,0.1851
65,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.11023622047244094,1.0,0.1851
66,Cc1ccc(C)c(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1,0.15151515151515152,1.0,0.1851
67,O=C(CS(=O)(=O)c1ccc(F)cc1)NCc1ccccc1,0.06557377049180328,1.0,0.1851
68,CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,0.11940298507462686,1.0,0.1851
69,CC(C)(C)c1ccc(CC(=O)N2CCC2(C)C(=O)NS(=O)(=O)c2cccc(F)c2)cc1,0.10714285714285714,1.0,0.1851
70,CCCS(=O)(=O)NCC(=O)Nc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)NCC2,0.13380281690140844,1.0,0.1851
71,CC(=O)c1ccc(N2CCCC(CO)(Cc3ccccc3F)C2)nc1,0.10077519379844961,1.0,0.1851
72,O=C(CNc1cccc(Br)c1)Nc1ccccc1C(=O)O,0.08333333333333333,1.0,0.1851
73,Cc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCc4ccccc43)CC2)cc1,0.11278195488721804,1.0,0.1851
74,Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)O)o1,0.07894736842105263,1.0,0.1851
